,id,title,release_date,vote_average,vote_count,popularity
97,299534,Avengers: Endgame,2019-04-24,8.3,23274,87.849
98,1585,It's a Wonderful Life,1946-12-20,8.3,3757,28.253
99,299536,Avengers: Infinity War,2018-04-25,8.3,27024,159.07
100,508965,Klaus,2019-11-08,8.3,3414,20.348
101,8587,The Lion King,1994-06-23,8.3,16599,93.626
102,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,8.3,3195,145.191
103,42269,We All Loved Each Other So Much,1974-12-21,8.2,467,7.339
104,504253,I Want to Eat Your Pancreas,2018-09-01,8.2,1263,31.965
105,490132,Green Book,2018-11-16,8.2,10173,70.708
106,797,Persona,1966-10-18,8.2,1843,14.401
107,290098,The Handmaiden,2016-06-01,8.2,3159,40.632
108,110420,Wolf Children,2012-07-21,8.2,2035,25.893
109,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,8.2,447,22.857
110,24188,Il Sorpasso,1962-12-05,8.2,625,7.937
111,575813,Better Days,2019-10-25,8.2,336,15.137
112,556574,Hamilton,2020-07-03,8.2,1146,13.846
113,37257,Witness for the Prosecution,1957-12-17,8.2,1156,15.137
114,354912,Coco,2017-10-27,8.2,17269,89.543
115,284,The Apartment,1960-06-21,8.2,1947,20.507
116,5156,Bicycle Thieves,1948-11-24,8.2,2078,14.094
117,522924,The Art of Racing in the Rain,2019-08-08,8.2,1216,39.322
118,694,The Shining,1980-05-23,8.2,15783,41.038
119,18148,Tokyo Story,1953-11-03,8.2,885,11.655
120,31414,Satantango,1994-02-08,8.2,224,9.714
121,185,A Clockwork Orange,1971-12-19,8.2,11643,31.473
122,16869,Inglourious Basterds,2009-08-19,8.2,20283,58.927
123,610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,8.2,300,22.92
124,490,The Seventh Seal,1957-02-16,8.2,2616,17.121
125,791373,Zack Snyder's Justice League,2021-03-18,8.2,8908,122.199
126,555604,Guillermo del Toro's Pinocchio,2022-11-09,8.2,2300,134.893
127,857,Saving Private Ryan,1998-07-24,8.2,14278,57.132
128,98,Gladiator,2000-05-04,8.2,16545,55.798
129,755812,"Miraculous World: New York, United HeroeZ",2020-12-18,8.2,986,76.268
130,592350,My Hero Academia: Heroes Rising,2019-12-20,8.2,1048,38.482
131,603,The Matrix,1999-03-30,8.2,23301,67.942
132,11,Star Wars,1977-05-25,8.2,18737,86.765
133,667276,Legend Quest: The Origin,2021-02-15,8.2,203,41.49
134,10098,The Kid,1921-01-21,8.2,1817,13.024
135,1124,The Prestige,2006-10-19,8.2,14242,32.021
136,476292,Maquia: When the Promised Flower Blooms,2018-02-24,8.2,528,21.007
137,313106,Doctor Who: The Day of the Doctor,2013-11-23,8.2,684,9.769
138,50014,The Help,2011-08-09,8.2,7320,89.288
139,11324,Shutter Island,2010-02-14,8.2,21791,50.275
140,629,The Usual Suspects,1995-07-19,8.2,9383,29.676
141,1398,Stalker,1979-05-25,8.2,1797,22.824
142,518068,Along with the Gods: The Last 49 Days,2018-08-01,8.2,493,26.029
143,2457,Children of Paradise,1945-03-15,8.2,341,8.798
144,422,8½,1963-02-14,8.2,2001,15.429
145,324786,Hacksaw Ridge,2016-10-07,8.2,12303,114.171
146,133919,Scenes from a Marriage,1974-09-15,8.2,294,7.562
147,77,Memento,2000-10-11,8.2,13344,33.652
148,762975,Purple Hearts,2022-07-29,8.2,1960,47.546
149,740937,"Simone, The Journey of the Century",2021-11-22,8.2,227,11.682
150,426,Vertigo,1958-05-28,8.2,5090,26.013
151,20532,Sansho the Bailiff,1954-03-31,8.2,314,10.877
152,297610,Abraham Lincoln Vampire Hunter: The Great Calamity,2012-10-23,8.2,207,4.382
153,26451,Investigation of a Citizen Above Suspicion,1970-10-16,8.2,673,12.358
154,531428,Portrait of a Lady on Fire,2019-06-17,8.2,2089,30.69
155,470044,The Hate U Give,2018-10-19,8.2,1947,35.062
156,810693,Jujutsu Kaisen 0,2021-12-24,8.2,940,70.778
157,654299,Out of the Clear Blue Sky,2019-12-24,8.2,314,7.925
158,823754,Bo Burnham: Inside,2021-07-22,8.2,366,10.856
159,664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,8.2,1216,34.489
160,398818,Call Me by Your Name,2017-09-01,8.2,11160,45.895
161,475557,Joker,2019-10-01,8.2,22830,55.84
162,517814,Capernaum,2018-09-20,8.2,1479,20.125
163,289,Casablanca,1942-11-26,8.2,4756,24.866
164,620683,My Mom is a Character 3,2019-12-26,8.2,449,5.764
165,872,Singin' in the Rain,1952-04-09,8.2,2760,25.218
166,399106,Piper,2016-06-16,8.2,1483,10.555
167,68718,Django Unchained,2012-12-25,8.2,24159,85.625
168,1422,The Departed,2006-10-04,8.2,13471,36.271
169,111,Scarface,1983-12-09,8.2,10409,55.568
170,103,Taxi Driver,1976-02-09,8.2,10716,41.261
171,606856,Togo,2019-12-20,8.2,1762,28.043
172,406997,Wonder,2017-11-13,8.2,7309,29.63
173,19,Metropolis,1927-02-06,8.2,2345,19.302
174,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,8.2,464,22.042
175,508442,Soul,2020-12-25,8.2,9186,75.811
176,92060,Michael Jackson's Thriller,1983-11-14,8.2,581,12.001
177,705,All About Eve,1950-10-06,8.1,1344,16.599
178,666,Central Station,1998-11-20,8.2,753,10.109
179,600354,The Father,2020-12-23,8.1,2655,21.132
180,489,Good Will Hunting,1997-12-05,8.1,10806,46.321
181,20914,My Friends,1975-10-24,8.1,622,6.475
182,614,Wild Strawberries,1957-12-26,8.1,1430,13.292
183,439,La Dolce Vita,1960-02-05,8.1,1643,20.649
184,348,Alien,1979-05-25,8.1,12872,43.06
185,996,Double Indemnity,1944-06-14,8.1,1550,15.343
186,20941,Innocent Voices,2005-01-28,8.1,394,10.019
187,55823,The Great War,1959-10-28,8.1,310,6.246
188,600,Full Metal Jacket,1987-06-26,8.1,9430,32.581
189,500,Reservoir Dogs,1992-09-02,8.1,13000,30.163
190,11878,Yojimbo,1961-04-25,8.1,1217,18.092
191,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.1,4973,23.09
192,21634,Prayers for Bobby,2009-01-24,8.1,518,10.465
193,548,Rashomon,1950-08-26,8.1,1875,13.689
194,640344,Me Against You: Mr. S's Vendetta,2020-01-17,8.1,458,5.156
195,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,8.1,5941,11.59
196,550776,Believe Me: The Abduction of Lisa McVey,2021-06-01,8.1,488,19.334
197,37165,The Truman Show,1998-06-04,8.1,16327,48.395
198,472454,Ayla: The Daughter of War,2017-10-27,8.1,316,14.291
199,831827,Far from the Tree,2021-11-24,8.1,324,25.523
200,411088,The Invisible Guest,2017-01-06,8.1,4104,31.405
201,3780,Red Beard,1965-04-03,8.1,283,9.705
202,400608,Bo Burnham: Make Happy,2016-06-03,8.1,333,7.871
203,992,Sherlock Jr.,1924-04-17,8.1,821,11.687
204,447365,Guardians of the Galaxy Vol. 3,2023-05-03,8.1,1902,1267.633
205,9702,Bound by Honor,1993-02-05,8.1,1097,36.468
206,347688,Scooby-Doo! and KISS: Rock and Roll Mystery,2015-07-10,8.1,272,15.01
207,239,Some Like It Hot,1959-03-19,8.1,3057,26.523
208,895,Andrei Rublev,1966-12-16,8.1,676,11.014
209,81481,Silenced,2011-09-22,8.1,491,19.458
210,843,In the Mood for Love,2000-09-29,8.1,2225,25.108
211,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,8.1,18790,109.48
212,397567,Along with the Gods: The Two Worlds,2017-12-14,8.1,833,26.611
213,24382,Big Deal on Madonna Street,1958-07-26,8.1,617,6.858
214,38288,I corti,1996-03-29,8.1,336,4.588
215,149871,The Tale of The Princess Kaguya,2013-11-23,8.1,1506,17.508
216,832,M,1931-05-11,8.1,1843,11.088
217,526702,Black Beauty,2020-11-27,8.1,301,15.132
218,17663,Anne of Green Gables,1985-12-01,8.1,215,16.761
219,38,Eternal Sunshine of the Spotless Mind,2004-03-19,8.1,13411,40.032
220,655,"Paris, Texas",1984-08-23,8.1,1479,16.432
